Trade.Flow,Reporter.ISO,Partner.ISO,Trade.Value..US..
Import,BRA,WLD,165855231418
Export,BRA,WLD,214988108353
Import,BRA,CAN,1949757937
Export,BRA,CAN,2719391044
Import,BRA,CHN,29094836692
Export,BRA,CHN,47488449966
Import,BRA,FRA,4779106958
Export,BRA,FRA,2249926836
Import,BRA,DEU,9776468178
Export,BRA,DEU,4911018150
Import,BRA,PAK,57549907
Export,BRA,PAK,605230542
Import,BRA,RUS,2850168384
Export,BRA,RUS,2736531853
Import,BRA,IND,3118728509
Export,BRA,IND,4657327590
Import,BRA,GBR,2498535648
Export,BRA,GBR,2844277431
Import,BRA,USA,29288180655
Export,BRA,USA,27147587073
