Trade.Flow,Reporter.ISO,Partner.ISO,Trade.Value..US..
Import,CAN,WLD,433045052733
Export,CAN,WLD,420074382189
Import,CAN,BRA,3634323371
Export,CAN,BRA,1318993241
Import,CAN,CHN,54652257046
Export,CAN,CHN,18185911190
Import,CAN,FRA,4771843301
Export,CAN,FRA,2625904722
Import,CAN,DEU,13856528608
Export,CAN,DEU,3094368204
Import,CAN,PAK,316574503
Export,CAN,PAK,575577308
Import,CAN,RUS,861087243
Export,CAN,RUS,517034731
Import,CAN,IND,3204370406
Export,CAN,IND,3296682348
Import,CAN,GBR,6859985097
Export,CAN,GBR,13633124740
Import,CAN,USA,222572824420
Export,CAN,USA,318570259928
