Trade.Flow,Reporter.ISO,Partner.ISO,Trade.Value..US..
Import,CHN,WLD,1843792938795
Export,CHN,WLD,2263370504301
Import,CHN,BRA,58857155273
Export,CHN,BRA,28950538235
Import,CHN,CAN,20423006604
Export,CHN,CAN,31375454689
Import,CHN,FRA,26805210300
Export,CHN,FRA,27963501958
Import,CHN,DEU,96940109119
Export,CHN,DEU,71134400096
Import,CHN,PAK,1833219000
Export,CHN,PAK,18250788585
Import,CHN,RUS,41390293056
Export,CHN,RUS,42830599817
Import,CHN,IND,16345370678
Export,CHN,IND,68042252505
Import,CHN,GBR,22328955902
Export,CHN,GBR,56713517329
Import,CHN,USA,154441855874
Export,CHN,USA,430328146524
