Trade.Flow,Reporter.ISO,Partner.ISO,Trade.Value..US..
Import,DEU,WLD,1167753355161
Export,DEU,WLD,1446642435221
Import,DEU,BRA,8446805435
Export,DEU,BRA,9683113858
Import,DEU,CAN,4593835320
Export,DEU,CAN,10975798589
Import,DEU,CHN,116477747099
Export,DEU,CHN,97474475592
Import,DEU,FRA,73056035998
Export,DEU,FRA,118932072069
Import,DEU,PAK,1900410756
Export,DEU,PAK,1364073748
Import,DEU,RUS,25400744223
Export,DEU,RUS,29850722783
Import,DEU,IND,9674712147
Export,DEU,IND,12113416511
Import,DEU,GBR,40956677147
Export,DEU,GBR,95827735055
Import,DEU,USA,71755577410
Export,DEU,USA,126366893483
