Trade.Flow,Reporter.ISO,Partner.ISO,Trade.Value..US..
Import,FRA,WLD,613132639717
Export,FRA,WLD,523385133284
Import,FRA,BRA,3331207869
Export,FRA,BRA,4717214172
Import,FRA,CAN,3517121418
Export,FRA,CAN,3564890179
Import,FRA,CHN,55401050257
Export,FRA,CHN,21292095767
Import,FRA,DEU,97082207072
Export,FRA,DEU,77609886141
Import,FRA,PAK,970866775
Export,FRA,PAK,607630592
Import,FRA,RUS,8606525189
Export,FRA,RUS,6292661255
Import,FRA,IND,6051924639
Export,FRA,IND,6037814785
Import,FRA,GBR,31123289033
Export,FRA,GBR,35050753878
Import,FRA,USA,39676920877
Export,FRA,USA,38414056721
