Trade.Flow,Reporter.ISO,Partner.ISO,Trade.Value..US..
Import,GBR,WLD,640907688603
Export,GBR,WLD,441847324214
Import,GBR,BRA,3130525619
Export,GBR,BRA,2320627874
Import,GBR,CAN,14870819750
Export,GBR,CAN,6231706274
Import,GBR,CHN,59860984044
Export,GBR,CHN,21382916068
Import,GBR,FRA,36458562716
Export,GBR,FRA,30381010916
Import,GBR,DEU,89639326173
Export,GBR,DEU,46663005497
Import,GBR,PAK,1634755403
Export,GBR,PAK,883603447
Import,GBR,RUS,7234127039
Export,GBR,RUS,3696871820
Import,GBR,IND,9179510043
Export,GBR,IND,5250483221
Import,GBR,USA,58827516056
Export,GBR,USA,59098116090
