Trade.Flow,Reporter.ISO,Partner.ISO,Trade.Value..US..
Import,IND,WLD,444052353836
Export,IND,WLD,294364490162
Import,IND,BRA,5104464250
Export,IND,BRA,2867436333
Import,IND,CAN,4844236758
Export,IND,CAN,2316419822
Import,IND,CHN,71922747817
Export,IND,CHN,12495230459
Import,IND,FRA,4931260139
Export,IND,FRA,5037498128
Import,IND,DEU,12665121178
Export,IND,DEU,8233600524
Import,IND,PAK,469331037
Export,IND,PAK,1789337609
Import,IND,RUS,7980558686
Export,IND,RUS,2138971950
Import,IND,GBR,4344085719
Export,IND,GBR,8954722988
Import,IND,USA,24086156632
Export,IND,USA,46018076640
