Trade.Flow,Reporter.ISO,Partner.ISO,Trade.Value..US..
Import,PAK,WLD,57440012500
Export,PAK,WLD,21877787164
Import,PAK,BRA,612681684
Export,PAK,BRA,46750037
Import,PAK,CAN,638932961
Export,PAK,CAN,244887892
Import,PAK,CHN,15383397803
Export,PAK,CHN,1508079658
Import,PAK,FRA,667698804
Export,PAK,FRA,399939263
Import,PAK,DEU,1111487582
Export,PAK,DEU,1286490628
Import,PAK,RUS,310938248
Export,PAK,RUS,130895412
Import,PAK,IND,1696136475
Export,PAK,IND,334751881
Import,PAK,GBR,766014848
Export,PAK,GBR,1634955498
Import,PAK,USA,2842546760
Export,PAK,USA,3560300692
