Trade.Flow,Reporter.ISO,Partner.ISO,Trade.Value..US..
Import,RUS,WLD,259966680280
Export,RUS,WLD,379206606018
Import,RUS,BRA,3240313961
Export,RUS,BRA,2658169828
Import,RUS,CAN,1071929629
Export,RUS,CAN,651403631
Import,RUS,CHN,56950375658
Export,RUS,CHN,41671349422
Import,RUS,FRA,10386846851
Export,RUS,FRA,6028246091
Import,RUS,DEU,28441062048
Export,RUS,DEU,26202990313
Import,RUS,PAK,286981263
Export,RUS,PAK,263166465
Import,RUS,IND,3094140016
Export,RUS,IND,7125588189
Import,RUS,GBR,4545303313
Export,RUS,GBR,8862350338
Import,RUS,USA,14282980847
Export,RUS,USA,11790525621
