Trade.Flow,Reporter.ISO,Partner.ISO,Trade.Value..US..
Import,USA,WLD,2405276626657
Export,USA,WLD,1545809598154
Import,USA,BRA,30551943376
Export,USA,BRA,37329690239
Import,USA,CAN,305647659426
Export,USA,CAN,282450323999
Import,USA,CHN,525764714470
Export,USA,CHN,129797515346
Import,USA,FRA,50049674524
Export,USA,FRA,34218039195
Import,USA,DEU,119962970800
Export,USA,DEU,53561607435
Import,USA,PAK,3762269975
Export,USA,PAK,2808080622
Import,USA,RUS,17777151208
Export,USA,RUS,7002945486
Import,USA,IND,50519287590
Export,USA,IND,25648233729
Import,USA,GBR,54171521570
Export,USA,GBR,56242315595
